title,view_count,tags,duration,duration_string,channel,channel_url,channel_follower_count
The Weeknd - Cry For Me (Official Music Video),40322577,The Weeknd;XO Republic Records,245,4:05,The Weeknd,https://www.youtube.com/channel/UCF_fDSgPpBQuh1MsUTgIARQ,38700000
Tate McRae - Sports car (Official Video),34091789,Sports car;Tate McRae;tate mcrae so close to what;tate mcrae sports car;tate mcrae kid laroi;tate mcrae hands;tate mcrae it’s ok i’m ok;tate mcrae you broke me first;dont want him anyway girl take him;tate mcrae greedy;would want myself;tate mcrae think later;just want your two hands on me at all times baby;miss possessive world tour;new tate mcrae music;tate mcrae 2025,188,3:08,Tate McRae,https://www.youtube.com/channel/UC-yW8iz7ICKv_bhuxLtcJaw,6320000
GIVĒON - RATHER BE (Official Music Video),3794711,giveon;like want you;new artist;epic;epic records;alicia fields;garden kisses;california;long beach;tempest;like want you video;giveon video;official music video;take time;new album;new music;r&b;stuck on you;when it's all said and done;giveon lie again;lie again giveon;lie again;Heartbreak anniversary;Heartbreak anniversary giveon;Heartbreak giveon;Giveon heartbreak anniversary;Giveon lyrics;Justin Bieber;Drake;Justin Bieber giveon,191,3:11,GIVĒON,https://www.youtube.com/channel/UCa3ZoB87QoSaLM0qODmrMfA,3330000
Benson Boone - Slow It Down (Official Music Video),85513596,Benson Boone;Slow It Down Official Music Video;Benson Boone Slow It Down;Benson Boone Slow It Down Official Music Video;Benson Boone lyrics;Slow It Down lyrics;Benson Boone Slow It Down lyrics;Fireworks & Rollerblades;Benson Boone Album;Album Benson Boone;Benson Boone Fireworks & Rollerblades;Fireworks & Rollerblades Benson Boone;Beautiful Things;slow it down;benson boone new song;slow it down benson boone;benson boone new music;new song;beautiful things,184,3:04,Benson Boone,https://www.youtube.com/channel/UCvILah8hAWYhYOmAG3ZjvBA,5360000
Tate McRae - Just Keep Watching (From F1® The Movie) (Official Video),36141339,tate mcrea;tate mcrae young;Create with Tate;tate mcrae;tatemcrea;i wrote a song;singing;singer;original song;top originals 2018;best songs of 2018;songwriter;hot vocals;songwriting;best youtube songs 2018;best songs;the ellen show;best originals;shawn mendes;ariana grande;new music 2018;best songs of the week;top songs of 2018;new songs of 2018;songs of the week;top 10 songs of the week;charlie puth;new songs may 2018;sean lew;june 2018,147,2:27,Tate McRae,https://www.youtube.com/channel/UCQh6LB206jF3JxpCDD-fp5Q,6320000
Charli xcx - Guess featuring billie eilish (official video),79002814,charli xcx;billie eilish;guess featuring billie eilish;guess feat. billie eilish;guess ft. billie eilish;charli xcx guess ft. billie eilish;charli ft. billie eilish;charli xcx ft. billie eilish;charli xcx guess featuring billie eilish;charli xcx guess;guess charli xcx;billie eilish guess;guess billie eilish;charli xcx billie eilish;billie eilish charli xcx;charli xcx - guess featuring billie eilish;guess featuring billie eilish - charli xcx;guess music video,161,2:41,Charli xcx,https://www.youtube.com/channel/UCOvEMf00DnwdkpOCRWdc6uA,3900000
Alex Warren - Carry You Home (Official Video),52725607,alex warren;alex waarren;alex and kouvr;alex and kouvr proposal;alex and kouvr wedding;alex and kouvr married;tik tok music;tik tok viral;viral music;hits;pop hits,188,3:08,Alex Warren,https://www.youtube.com/channel/UCX2Pm1JoWF3chsVOR9e1hbQ,4050000
Roy Woods - You (Official Music Video),125528,roy woods;roy;woods;ovo sound;ovo;october's very own;drama;down girl;drake;majid jordan;dvsn;plaza;baka not nice;jealousy;toronto;worth it;rnb;r&b;hip hop;rap;Dark Nights;You,182,3:02,Roy Woods,https://www.youtube.com/channel/UCN_uuL0yjn9H5fnFqpo2S1w,297000
Maroon 5 - Priceless ft. LISA (Official Video),29890943,Maroon;LISA;222 Records/Interscope Records;Pop;マルーン5;마룬5;魔力紅;魔力红;priceless;new music;2025;Baby;you're priceless;anything like this;all wanna do,171,2:51,Maroon 5,https://www.youtube.com/channel/UCN1hnUccO4FD5WfM7ithXaw,37800000
Dean Lewis - With You (Official Video),30313088,Dean Lewis;Universal Music Australia Pty. Ltd.;Pop,194,3:14,Dean Lewis,https://www.youtube.com/channel/UCCsEkPFtMYnfQoTenSsur-w,2680000
Benson Boone - Mystical Magical (Official Lyric Video),30192542,Benson Boone;Benson Boone lyrics;Benson Boone Album;Beautiful Things;benson boone new song;benson boone new music;Benson Boone New Music;benson boone lyrics;beautiful things;benson boone beautiful things;benson boones lyrics;benson boone coachella;benson boone mystical magical;mystical magical;mystical magical lyrics;benson boone mystical magical lyrics;mystical magical lyric video;benson boone mystical;benson boone new coachella song,166,2:46,Benson Boone,https://www.youtube.com/channel/UCvILah8hAWYhYOmAG3ZjvBA,5360000
Tate McRae - Revolving door (Official Video),30012095,Sports car;tate mcrae sports car;tate mcrae kid laroi;tate mcrae hands;tate mcrae it’s ok i’m ok;tate mcrae you broke me first;dont want him anyway girl take him;tate mcrae greedy;would want myself;tate mcrae think later;miss possessive world tour;new tate mcrae music;tate mcrae 2025;revolving door;tate mcrae new album;so close to what tate mcrae;tayte mcray new album;revolving door official video;tate mcrae new video;2025 tate mcrae music,235,3:55,Tate McRae,https://www.youtube.com/channel/UC-yW8iz7ICKv_bhuxLtcJaw,6320000
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),158325692,Taylor swift;taylor;swift;taylor swift ttpd;tortured poets department;new taylor swift;taylor swift album;ttpd anthology;taylor swift fortnight;fortnite taylor swift;taylor swift;taylor swift fortnight music video;taylor swift fortnight postmalone;fortnight taylor swift post malone;fortnight taylor swift music video;fortnite music video;fortnite taylor swift post malone;taylor swift for a fortnight;taylor swift the tortured poets department;taylor fortnight,249,4:09,Taylor Swift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,61500000
Vex Prince - MONEY feat Dorty (Official Music Video),899024,vexprincemoney;vexprincerwanda;vex;dortylattecha;vexprincedorty,158,2:38,Vex Prince,https://www.youtube.com/channel/UCUOJHORC9aycl9Tb2O4EKag,6100
d4vd - Feel It (Official Music Video),37464367,d4vd;Feel;Darkroom/Interscope;Records;Alternative,154,2:34,d4vd,https://www.youtube.com/channel/UCSQ-IY_3aVGlPQp_QJl3-Yg,2220000
Damiano David - Born With a Broken Heart (Official Video),38500113,Born With Broken Heart;Damiano David,253,4:13,Damiano David,https://www.youtube.com/channel/UCcEJwxURVimfFFhBFSfgpQw,514000
